SNO,NAME OF COMPANY,SYMBOL
633,IFB Agro Industries Limited,IFBAGRO
634,IFB Industries Limited,IFBIND
635,IFCI Limited,IFCI
636,IFGL Refractories Limited,IFGLEXPOR
637,Igarashi Motors India Limited,IGARASHI
638,Indraprastha Gas Limited,IGL
639,IG Petrochemicals Limited,IGPL
640,IIFL Finance Limited,IIFL
641,IIFL Securities Limited,IIFLSEC
642,Iifl Wealth Management Limited,IIFLWAM
643,Industrial Investment Trust Limited,IITL
644,IL&FS Engineering and Construction Company Limited,IL&FSENGG
645,IL&FS Transportation Networks Limited,IL&FSTRANS
646,Indian Metals & Ferro Alloys Limited,IMFA
647,India Motor Parts and Accessories Limited,IMPAL
648,Impex Ferro Tech Limited,IMPEXFERRO
649,Indbank Merchant Banking Services Limited,INDBANK
650,The Indian Hotels Company Limited,INDHOTEL
651,The India Cements Limited,INDIACEM
652,India Glycols Limited,INDIAGLYCO
653,Indiamart Intermesh Limited,INDIAMART
654,Indian Bank,INDIANB
655,Indian Card Clothing Company Limited,INDIANCARD
656,Indian Hume Pipe Company Limited,INDIANHUME
657,InterGlobe Aviation Limited,INDIGO
658,IMP Powers Limited,INDLMETER
659,India Nippon Electricals Limited,INDNIPPON
660,Indoco Remedies Limited,INDOCO
661,Indo Rama Synthetics (India) Limited,INDORAMA
662,Indosolar Limited,INDOSOLAR
663,IndoStar Capital Finance Limited,INDOSTAR
664,Indo Tech Transformers Limited,INDOTECH
665,Indo Thai Securities Limited,INDOTHAI
666,Indowind Energy Limited,INDOWIND
667,Indraprastha Medical Corporation Limited,INDRAMEDCO
668,Ind-Swift Laboratories Limited,INDSWFTLAB
669,Ind-Swift Limited,INDSWFTLTD
670,Indian Terrain Fashions Limited,INDTERRAIN
671,IndusInd Bank Limited,INDUSINDBK
672,INEOS Styrolution India Limited,INEOSSTYRO
673,Infibeam Avenues Limited,INFIBEAM
674,InfoBeans Technologies Limited,INFOBEAN
675,Bharti Infratel Limited,INFRATEL
676,Infosys Limited,INFY
677,Ingersoll Rand (India) Limited,INGERRAND
678,INOX Leisure Limited,INOXLEISUR
679,Inox Wind Limited,INOXWIND
680,Insecticides (India) Limited,INSECTICID
681,Inspirisys Solutions Limited,INSPIRISYS
682,Integra Garments and Textiles Limited,INTEGRA
683,Intellect Design Arena Limited,INTELLECT
684,Intense Technologies Limited,INTENTECH
685,Inventure Growth & Securities Limited,INVENTURE
686,Indian Overseas Bank,IOB
687,Indian Oil Corporation Limited,IOC
688,IOL Chemicals and Pharmaceuticals Limited,IOLCP
689,International Paper APPM Limited,IPAPPM
690,IPCA Laboratories Limited,IPCALAB
691,IRB Infrastructure Developers Limited,IRB
692,Ircon International Limited,IRCON
693,Indian Railway Catering And Tourism Corporation Limited,IRCTC
694,ICICI Securities Limited,ISEC
695,Intrasoft Technologies Limited,ISFT
696,ISMT Limited,ISMTLTD
697,ITC Limited,ITC
698,India Tourism Development Corporation Limited,ITDC
699,ITD Cementation India Limited,ITDCEM
700,ITI Limited,ITI
701,IL&FS Investment Managers Limited,IVC
702,IVP Limited,IVP
703,IVRCL Limited,IVRCLINFRA
704,IZMO Limited,IZMO
705,The Jammu & Kashmir Bank Limited,J&KBANK
706,Jagran Prakashan Limited,JAGRAN
707,Jagsonpal Pharmaceuticals Limited,JAGSNPHARM
708,Jai Balaji Industries Limited,JAIBALAJI
709,Jai Corp Limited,JAICORPLTD
710,Jaihind Projects Limited,JAIHINDPRO
711,Jain Studios Limited,JAINSTUDIO
712,Jamna Auto Industries Limited,JAMNAAUTO
713,Jash Engineering Limited,JASH
714,Jayant Agro Organics Limited,JAYAGROGN
715,Jay Bharat Maruti Limited,JAYBARMARU
716,Jayaswal Neco Industries Limited,JAYNECOIND
717,Jayshree Tea & Industries Limited,JAYSREETEA
718,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM
719,JBF Industries Limited,JBFIND
720,JBM Auto Limited,JBMA
721,Johnson Controls â Hitachi Air Conditioning India Limited,JCHAC
722,Jet Airways (India) Limited,JETAIRWAYS
723,JHS Svendgaard Laboratories Limited,JHS
724,JIK Industries Limited,JIKIND
725,Jindal Photo Limited,JINDALPHOT
726,Jindal Poly Films Limited,JINDALPOLY
727,Jindal Saw Limited,JINDALSAW
728,Jindal Steel & Power Limited,JINDALSTEL
729,Jindal Cotex Limited,JINDCOT
730,Jindal Drilling And Industries Limited,JINDRILL
731,Jindal Worldwide Limited,JINDWORLD
732,Jain Irrigation Systems Limited,JISLDVREQS
733,Jain Irrigation Systems Limited,JISLJALEQS
734,JITF Infralogistics Limited,JITFINFRA
735,Jiya Eco-Products Limited,JIYAECO
736,JK Cement Limited,JKCEMENT
737,J.Kumar Infraprojects Limited,JKIL
738,JK Lakshmi Cement Limited,JKLAKSHMI
739,JK Paper Limited,JKPAPER
740,JK Tyre & Industries Limited,JKTYRE
741,Jullundur Motor Agency (Delhi) Limited,JMA
742,JMC Projects (India) Limited,JMCPROJECT
743,JM Financial Limited,JMFINANCIL
744,JMT Auto Limited,JMTAUTOLTD
745,Jocil Limited,JOCIL
746,Jaiprakash Associates Limited,JPASSOCIAT
747,Jaypee Infratech Limited,JPINFRATEC
748,Jindal Poly Investment and Finance Company Limited,JPOLYINVST
749,Jaiprakash Power Ventures Limited,JPPOWER
750,Jindal Stainless Limited,JSL
751,Jindal Stainless (Hisar) Limited,JSLHISAR
752,JSW Energy Limited,JSWENERGY
753,JSW Holdings Limited,JSWHL
754,JSW Steel Limited,JSWSTEEL
755,Jtekt India Limited,JTEKTINDIA
756,Jubilant Life Sciences Limited,JUBILANT
757,Jubilant Foodworks Limited,JUBLFOOD
758,Jubilant Industries Limited,JUBLINDS
759,Jump Networks Limited,JUMPNET
760,Just Dial Limited,JUSTDIAL
761,JVL Agro Industries Limited,JVLAGRO
762,Jyothy Labs Limited,JYOTHYLAB
763,Kabra Extrusion Technik Limited,KABRAEXTRU
764,Kajaria Ceramics Limited,KAJARIACER
765,Kakatiya Cement Sugar & Industries Limited,KAKATCEM
766,Kalpataru Power Transmission Limited,KALPATPOWR
767,Kalyani Commercials Limited,KALYANI
768,Kalyani Forge Limited,KALYANIFRG
769,Kamat Hotels (I) Limited,KAMATHOTEL
770,Kamdhenu Limited,KAMDHENU
771,Kanani Industries Limited,KANANIIND
772,Kanoria Chemicals & Industries Limited,KANORICHEM
773,Kansai Nerolac Paints Limited,KANSAINER
774,Karda Constructions Limited,KARDA
775,Karma Energy Limited,KARMAENG
776,Karur Vysya Bank Limited,KARURVYSYA
777,Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA
778,Kavveri Telecom Products Limited,KAVVERITEL
779,Kaya Limited,KAYA
780,KCP Limited,KCP
781,KCP Sugar and Industries Corporation Limited,KCPSUGIND
782,KDDL Limited,KDDL
783,KEC International Limited,KEC
784,Kirloskar Electric Company Limited,KECL
785,KEI Industries Limited,KEI
786,Kellton Tech Solutions Limited,KELLTONTEC
787,Kennametal India Limited,KENNAMET
788,Kernex Microsystems (India) Limited,KERNEX
789,Kesar Enterprises Limited,KESARENT
790,Kesoram Industries Limited,KESORAMIND
791,Keynote Financial Services Limited,KEYFINSERV
792,Karuturi Global Limited,KGL
793,Khadim India Limited,KHADIM
794,Khaitan (India) Limited,KHAITANLTD
795,Khandwala Securities Limited,KHANDSE
796,Kalyani Investment Company Limited,KICL
797,Kilitch Drugs (India) Limited,KILITCH
798,Kingfa Science & Technology (India) Limited,KINGFA
799,KIOCL Limited,KIOCL
800,Kiri Industries Limited,KIRIINDUS
801,Kirloskar Brothers Limited,KIRLOSBROS
802,Kirloskar Oil Engines Limited,KIRLOSENG
803,Kirloskar Industries Limited,KIRLOSIND
804,Kitex Garments Limited,KITEX
805,Kewal Kiran Clothing Limited,KKCL
806,K.M.Sugar Mills Limited,KMSUGAR
807,KNR Constructions Limited,KNRCON
808,Kohinoor Foods Limited,KOHINOOR
809,Kokuyo Camlin Limited,KOKUYOCMLN
810,Kolte â Patil Developers Limited,KOLTEPATIL
811,Kopran Limited,KOPRAN
812,Kotak Mahindra Bank Limited,KOTAKBANK
813,Kothari Sugars And Chemicals Limited,KOTARISUG
814,Kothari Petrochemicals Limited,KOTHARIPET
815,Kothari Products Limited,KOTHARIPRO
816,KPIT Technologies Limited,KPITTECH
817,K.P.R. Mill Limited,KPRMILL
818,KRBL Limited,KRBL
819,Krebs Biochemicals and Industries Limited,KREBSBIO
820,Kridhan Infra Limited,KRIDHANINF
821,Krishana Phoschem Limited,KRISHANA
822,Ksb Limited,KSB
823,Kaveri Seed Company Limited,KSCL
824,KSS Limited,KSERASERA
825,KSK Energy Ventures Limited,KSK
826,Kalyani Steels Limited,KSL
827,Kesar Terminals & Infrastructure Limited,KTIL
828,The Karnataka Bank Limited,KTKBANK
829,Kuantum Papers Limited,KUANTUM
830,kwality limited,KWALITY
831,L&T Finance Holdings Limited,L&TFH
832,Lakshmi Precision Screws Limited,LAKPRE
833,Lakshmi Vilas Bank Limited,LAKSHVILAS
834,Dr. Lal Path Labs Ltd.,LALPATHLAB
835,Lambodhara Textiles Limited,LAMBODHARA
836,La Opala RG Limited,LAOPALA
837,Lasa Supergenerics Limited,LASA
838,Laurus Labs Limited,LAURUSLABS
839,Lakshmi Machine Works Limited,LAXMIMACH
840,Lemon Tree Hotels Limited,LEMONTREE
841,Lakshmi Finance & Industrial Corporation Limited,LFIC
842,LG Balakrishnan & Bros Limited,LGBBROSLTD
843,LGB Forge Limited,LGBFORGE
844,Libas Designs Limited,LIBAS
845,Libas Designs Limited,LIBAS
846,Liberty Shoes Limited,LIBERTSHOE
847,LIC Housing Finance Limited,LICHSGFIN
848,Lincoln Pharmaceuticals Limited,LINCOLN
849,Linc Pen & Plastics Limited,LINCPEN
850,Linde India Limited,LINDEINDIA
851,Lokesh Machines Limited,LOKESHMACH
852,Lotus Eye Hospital and Institute Limited,LOTUSEYE
853,Lovable Lingerie Limited,LOVABLE
854,Landmark Property Development Company Limited,LPDC
855,Lloyds Steels Industries Limited,LSIL
856,Larsen & Toubro Limited,LT
857,Larsen & Toubro Infotech Limited,LTI
858,L&T Technology Services Limited,LTTS
859,Lumax Industries Limited,LUMAXIND
860,Lumax Auto Technologies Limited,LUMAXTECH
861,Lupin Limited,LUPIN
862,Lux Industries Limited,LUXIND
863,Lyka Labs Limited,LYKALABS
864,Lypsa Gems & Jewellery Limited,LYPSAGEMS
865,Mahindra & Mahindra Limited,M&M
866,Mahindra & Mahindra Financial Services Limited,M&MFIN
867,Maan Aluminium Limited,MAANALU
868,Madhav Marbles and Granites Limited,MADHAV
869,Madhucon Projects Limited,MADHUCON
870,Madras Fertilizers Limited,MADRASFERT
871,Magadh Sugar & Energy Limited,MAGADSUGAR
872,Magma Fincorp Limited,MAGMA
873,Magnum Ventures Limited,MAGNUM
874,Bank of Maharashtra,MAHABANK
875,Maha Rashtra Apex Corporation Limited,MAHAPEXLTD
876,Mahamaya Steel Industries Limited,MAHASTEEL
877,Maheshwari Logistics Limited,MAHESHWARI
878,Mahindra CIE Automotive Limited,MAHINDCIE
879,Mahindra Lifespace Developers Limited,MAHLIFE
880,Mahindra Logistics Limited,MAHLOG
881,Maharashtra Scooters Limited,MAHSCOOTER
882,Maharashtra Seamless Limited,MAHSEAMLES
883,Maithan Alloys Limited,MAITHANALL
884,Majesco Limited,MAJESCO
885,Malu Paper Mills Limited,MALUPAPER
886,Manaksia Aluminium Company Limited,MANAKALUCO
887,Manaksia Coated Metals & Industries Limited,MANAKCOAT
888,Manaksia Limited,MANAKSIA
889,Manaksia Steels Limited,MANAKSTEEL
890,Manali Petrochemicals Limited,MANALIPETC
891,Manappuram Finance Limited,MANAPPURAM
892,Mangalam Drugs And Organics Limited,MANGALAM
893,Mangalore Chemicals & Fertilizers Limited,MANGCHEFER
894,Mangalam Cement Limited,MANGLMCEM
895,Mangalam Timber Products Limited,MANGTIMBER
896,Man Industries (India) Limited,MANINDS
897,Man Infraconstruction Limited,MANINFRA
898,Manpasand Beverages Limited,MANPASAND
899,Manugraph India Limited,MANUGRAPH
900,Maral Overseas Limited,MARALOVER
901,Marathon Nextgen Realty Limited,MARATHON
902,Marico Limited,MARICO
903,Marksans Pharma Limited,MARKSANS
904,Maruti Suzuki India Limited,MARUTI
905,MAS Financial Services Limited,MASFIN
906,Mask Investments Limited,MASKINVEST
907,Mastek Limited,MASTEK
908,Matrimony.Com Limited,MATRIMONY
909,Mawana Sugars Limited,MAWANASUG
910,Max India Limited,MAXINDIA
911,Max Ventures and Industries Limited,MAXVIL
912,Mayur Uniquoters Ltd,MAYURUNIQ
913,Mazda Limited,MAZDA
914,Madhya Bharat Agro Products Limited,MBAPL
915,Mcnally Bharat Engineering Company Limited,MBECL
916,MBL Infrastructures Limited,MBLINFRA
917,McDowell Holdings Limited,MCDHOLDING
918,United Spirits Limited,MCDOWELL-N
919,Mcleod Russel India Limited,MCLEODRUSS
920,Multi Commodity Exchange of India Limited,MCX
921,Megasoft Limited,MEGASOFT
922,Meghmani Organics Limited,MEGH
923,Melstar Information Technologies Limited,MELSTAR
924,Menon Bearings Limited,MENONBE
925,MEP Infrastructure Developers Limited,MEP
926,Mercator Limited,MERCATOR
927,Metalyst Forgings Limited,METALFORGE
928,Metkore Alloys & Industries Limited,METKORE
929,Metropolis Healthcare Limited,METROPOLIS
930,Max Financial Services Limited,MFSL
931,Mahanagar Gas Limited,MGL
932,Mahindra Holidays & Resorts India Limited,MHRIL
933,MIC Electronics Limited,MIC
934,Mishra Dhatu Nigam Limited,MIDHANI
935,Minda Corporation Limited,MINDACORP
936,Minda Industries Limited,MINDAIND
937,Mindteck (India) Limited,MINDTECK
938,MindTree Limited,MINDTREE
939,MIRC Electronics Limited,MIRCELECTR
940,Mirza International Limited,MIRZAINT
941,MM Forgings Limited,MMFL
942,MMTC Limited,MMTC
943,Modi Rubber Limited,MODIRUBBER
944,Mohit Industries Limited,MOHITIND
945,Mohota Industries Limited,MOHOTAIND
946,MOIL Limited,MOIL
947,Mold-Tek Technologies Limited,MOLDTECH
948,Mold-Tek Packaging Limited,MOLDTKPAC
949,Monte Carlo Fashions Limited,MONTECARLO
950,Morarjee Textiles Limited,MORARJEE
951,Morepen Laboratories Limited,MOREPENLAB
952,Motherson Sumi Systems Limited,MOTHERSUMI
953,Motilal Oswal Financial Services Limited,MOTILALOFS
954,The Motor & General Finance Limited,MOTOGENFIN
955,MphasiS Limited,MPHASIS
956,MPS Limited,MPSLTD
957,MRF Limited,MRF
958,MRO-TEK Realty Limited,MRO-TEK
959,Mangalore Refinery and Petrochemicals Limited,MRPL
960,MSP Steel & Power Limited,MSPL
961,Mstc Limited,MSTCLTD
962,MT Educare Limited,MTEDUCARE
963,Mahanagar Telephone Nigam Limited,MTNL
964,Mukand Engineers Limited,MUKANDENGG
965,Mukand Limited,MUKANDLTD
966,Mukta Arts Limited,MUKTAARTS
967,Munjal Auto Industries Limited,MUNJALAU
968,Munjal Showa Limited,MUNJALSHOW
969,Murudeshwar Ceramics Limited,MURUDCERA
970,Muthoot Capital Services Limited,MUTHOOTCAP
971,Muthoot Finance Limited,MUTHOOTFIN
972,MVL Limited,MVL
973,NACL Industries Limited,NACLIND
974,Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT
975,Nagarjuna Oil Refinery Limited,NAGAROIL
976,Nagreeka Capital & Infrastructure Limited,NAGREEKCAP
977,Nagreeka Exports Limited,NAGREEKEXP
978,Nahar Capital and Financial Services Limited,NAHARCAP
979,Nahar Industrial Enterprises Limited,NAHARINDUS
980,Nahar Poly Films Limited,NAHARPOLY
981,Nahar Spinning Mills Limited,NAHARSPING
982,Natco Pharma Limited,NATCOPHARM
983,Nath Bio-Genes (India) Limited,NATHBIOGEN
984,National Aluminium Company Limited,NATIONALUM
985,National Steel And Agro Industries Limited,NATNLSTEEL
986,Info Edge (India) Limited,NAUKRI
987,Navin Fluorine International Limited,NAVINFLUOR
988,Navkar Corporation Limited,NAVKARCORP
989,Navneet Education Limited,NAVNETEDUL
990,NBCC (India) Limited,NBCC
991,N. B. I. Industrial Finance Company Limited,NBIFIN
992,Nava Bharat Ventures Limited,NBVENTURES
993,NCC Limited,NCC
994,NCL Industries Limited,NCLIND
995,Naga Dhunseri Group Limited,NDGL
996,Nandan Denim Limited,NDL
997,New Delhi Television Limited,NDTV
998,North Eastern Carrying Corporation Limited,NECCLTD
999,Nectar Lifesciences Limited,NECLIFE
1000,Nelcast Limited,NELCAST
1001,NELCO Limited,NELCO
1002,Neogen Chemicals Limited,NEOGEN
1003,Nesco Limited,NESCO
1004,Nestle India Limited,NESTLEIND
1005,Network18 Media & Investments Limited,NETWORK18
1006,Neuland Laboratories Limited,NEULANDLAB
1007,Newgen Software Technologies Limited,NEWGEN
1008,Next Mediaworks Limited,NEXTMEDIA
1009,National Fertilizers Limited,NFL
1010,Narayana Hrudayalaya Ltd.,NH
1011,NHPC Limited,NHPC
1012,The New India Assurance Company Limited,NIACL
1013,NRB Industrial Bearings Limited,NIBL
1014,NIIT Limited,NIITLTD
1015,NIIT Technologies Limited,NIITTECH
1016,Nila Infrastructures Limited,NILAINFRA
1017,Nila Spaces Limited,NILASPACES
1018,Nilkamal Limited,NILKAMAL
1019,Indo-National Limited,NIPPOBATRY
1020,Niraj Ispat Industries Limited,NIRAJISPAT
1021,Nitco Limited,NITCO
1022,Nitin Fire Protection Industries Limited,NITINFIRE
1023,Nitin Spinners Limited,NITINSPIN
1024,NK Industries Limited,NKIND
1025,NLC India Limited,NLCINDIA
1026,NMDC Limited,NMDC
1027,NOCIL Limited,NOCIL
1028,Noida Toll Bridge Company Limited,NOIDATOLL
1029,Norben Tea & Exports Limited,NORBTEAEXP
1030,N R Agarwal Industries Limited,NRAIL
1031,NRB Bearing Limited,NRBBEARING
1032,Nalwa Sons Investments Limited,NSIL
1033,Neueon Towers Limited,NTL
1034,NTPC Limited,NTPC
1035,Nucleus Software Exports Limited,NUCLEUS
1036,NXTDIGITAL LIMITED,NXTDIGITAL
1037,Oriental Aromatics Limited,OAL
1038,Oberoi Realty Limited,OBEROIRLTY
1039,Oriental Carbon & Chemicals Limited,OCCL
1040,Oracle Financial Services Software Limited,OFSS
1041,Oil India Limited,OIL
1042,Oil Country Tubular Limited,OILCOUNTUB
1043,OCL Iron and Steel Limited,OISL
1044,Olectra Greentech Limited,OLECTRA
1045,Omax Autos Limited,OMAXAUTO
1046,Omaxe Limited,OMAXE
1047,Omkar Speciality Chemicals Limited,OMKARCHEM
1048,OM Metals Infraprojects Limited,OMMETALS
1049,Onelife Capital Advisors Limited,ONELIFECAP
1050,One Point One Solutions Limited,ONEPOINT
1051,Oil & Natural Gas Corporation Limited,ONGC
1052,OnMobile Global Limited,ONMOBILE
1053,Onward Technologies Limited,ONWARDTEC
1054,Optiemus Infracom Limited,OPTIEMUS
1055,Opto Circuits (India) Limited,OPTOCIRCUI
1056,Orbit Exports Limited,ORBTEXP
1057,Oricon Enterprises Limited,ORICONENT
1058,Orient Abrasives Limited,ORIENTABRA
1059,Oriental Trimex Limited,ORIENTALTL
1060,Oriental Bank of Commerce,ORIENTBANK
1061,Orient Bell Limited,ORIENTBELL
1062,Orient Cement Limited,ORIENTCEM
1063,Orient Electric Limited,ORIENTELEC
1064,Oriental Hotels Limited,ORIENTHOT
1065,Orient Press Limited,ORIENTLTD
1066,Orient Paper & Industries Limited,ORIENTPPR
1067,Orient Refractories Limited,ORIENTREF
1068,The Orissa Minerals Development Company Limited,ORISSAMINE
1069,Ortel Communications Limited,ORTEL
1070,Ortin Laboratories Limited,ORTINLABSS
1071,Oswal Agro Mills Limited,OSWALAGRO
1072,PAE Limited,PAEL
1073,Page Industries Limited,PAGEIND
1074,Paisalo Digital Limited,PAISALO
1075,Palash Securities Limited,PALASHSECU
1076,Palred Technologies Limited,PALREDTEC
1077,Panacea Biotec Limited,PANACEABIO
1078,Panama Petrochem Limited,PANAMAPET
1079,Huhtamaki PPL Limited,PAPERPROD
1080,Parabolic Drugs Limited,PARABDRUGS
1081,Paramount Communications Limited,PARACABLES
1082,Parag Milk Foods Limited,PARAGMILK
1083,Parsvnath Developers Limited,PARSVNATH
1084,Patel Engineering Limited,PATELENG
1085,Patel Integrated Logistics Limited,PATINTLOG
1086,Patspin India Limited,PATSPINLTD
1087,PC Jeweller Limited,PCJEWELLER
1088,Pudumjee Paper Products Limited,PDMJEPAPER
1089,Parenteral Drugs (India) Limited,PDPL
1090,PDS Multinational Fashions Limited,PDSMFL
1091,Pearl Polymers Limited,PEARLPOLY
1092,Piramal Enterprises Limited,PEL
1093,Pennar Industries Limited,PENIND
1094,Peninsula Land Limited,PENINLAND
1095,Persistent Systems Limited,PERSISTENT
1096,Petron Engineering Construction Limited,PETRONENGG
1097,Petronet LNG Limited,PETRONET
1098,Power Finance Corporation Limited,PFC
1099,Pfizer Limited,PFIZER
1100,Prime Focus Limited,PFOCUS
1101,PTC India Financial Services Limited,PFS
1102,PG Electroplast Limited,PGEL
1103,Procter & Gamble Hygiene and Health Care Limited,PGHH
1104,Procter & Gamble Health Limited,PGHL
1105,Pearl Global Industries Limited,PGIL
1106,Phillips Carbon Black Limited,PHILIPCARB
1107,The Phoenix Mills Limited,PHOENIXLTD
1108,Pidilite Industries Limited,PIDILITIND
1109,PI Industries Limited,PIIND
1110,Pilani Investment and Industries Corporation Limited,PILANIINVS
1111,PIL ITALICA LIFESTYLE LIMITED,PILITA
1112,Pioneer Distilleries Limited,PIONDIST
1113,Pioneer Embroideries Limited,PIONEEREMB
1114,Piramal Phytocare Limited,PIRPHYTO
1115,Pitti Engineering Limited,PITTIENG
1116,The Peria Karamalai Tea & Produce Company Limited,PKTEA
1117,Plastiblends India Limited,PLASTIBLEN
1118,Punjab National Bank,PNB
1119,PNB Gilts Limited,PNBGILTS
1120,PNB Housing Finance Limited,PNBHOUSING
1121,Pritish Nandy Communications Limited,PNC
1122,PNC Infratech Limited,PNCINFRA
1123,Poddar Housing and Development Limited,PODDARHOUS
1124,Poddar Pigments Limited,PODDARMENT
1125,Pokarna Limited,POKARNA
1126,Polycab India Limited,POLYCAB
1127,Poly Medicure Limited,POLYMED
1128,Polyplex Corporation Limited,POLYPLEX
1129,Ponni Sugars (Erode) Limited,PONNIERODE
1130,Power Grid Corporation of India Limited,POWERGRID
1131,Power Mech Projects Limited,POWERMECH
1132,PPAP Automotive Limited,PPAP
1133,Prakash Pipes Limited,PPL
1134,Prabhat Dairy Limited,PRABHAT
1135,Pradip Overseas Limited,PRADIP
1136,Prajay Engineers Syndicate Limited,PRAENG
1137,Praj Industries Limited,PRAJIND
1138,Prakash Industries Limited,PRAKASH
1139,Prakash Steelage Limited,PRAKASHSTL
1140,Praxis Home Retail Limited,PRAXIS
1141,Precision Camshafts Limited,PRECAM
1142,Precot Meridian Limited,PRECOT
1143,Precision Wires India Limited,PRECWIRE
1144,Premier Explosives Limited,PREMEXPLN
1145,Premier Limited,PREMIER
1146,Premier Polyfilm Limited,PREMIERPOL
1147,Pressman Advertising Limited,PRESSMN
1148,Prestige Estates Projects Limited,PRESTIGE
1149,Pricol Limited,PRICOLLTD
1150,Prime Securities Limited,PRIMESECU
1151,Proseed India Limited,PROSEED
1152,Provogue (India) Limited,PROVOGE
1153,Prozone Intu Properties Limited,PROZONINTU
1154,Prism Johnson Limited,PRSMJOHNSN
1155,Punjab & Sind Bank,PSB
1156,PSL Limited,PSL
1157,PSP Projects Limited,PSPPROJECT
1158,PTC India Limited,PTC
1159,PTL Enterprises Limited,PTL
1160,Punjab Chemicals & Crop Protection Limited,PUNJABCHEM
1161,Punj Lloyd Limited,PUNJLLOYD
1162,Puravankara Limited,PURVA
1163,PVR Limited,PVR
1164,Quess Corp Limited,QUESS
1165,Quick Heal Technologies Limited,QUICKHEAL
1166,Radaan Mediaworks India Limited,RADAAN
1167,Radico Khaitan Limited,RADICO
1168,Music Broadcast Limited,RADIOCITY
1169,Rain Industries Limited,RAIN
1170,Rajesh Exports Limited,RAJESHEXPO
1171,Raj Rayon Industries Limited,RAJRAYON
1172,Rajshree Sugars & Chemicals Limited,RAJSREESUG
1173,Raj Television Network Limited,RAJTV
1174,Rajvir Industries Limited,RAJVIR
1175,Rallis India Limited,RALLIS
1176,Shree Rama Newsprint Limited,RAMANEWS
1177,Rama Steel Tubes Limited,RAMASTEEL
1178,The Ramco Cements Limited,RAMCOCEM
1179,Ramco Industries Limited,RAMCOIND
1180,Ramco Systems Limited,RAMCOSYS
1181,Ramky Infrastructure Limited,RAMKY
1182,Ramsarup Industries Limited,RAMSARUP
1183,Rana Sugars Limited,RANASUG
1184,Rane Engine Valve Limited,RANEENGINE
1185,Rane Holdings Limited,RANEHOLDIN
1186,Ratnamani Metals & Tubes Limited,RATNAMANI
1187,Raymond Limited,RAYMOND
1188,Rane Brake Lining Limited,RBL
1189,RBL Bank Limited,RBLBANK
1190,Rashtriya Chemicals and Fertilizers Limited,RCF
1191,Reliance Communications Limited,RCOM
1192,REC Limited,RECLTD
1193,Redington (India) Limited,REDINGTON
1194,Refex Industries Limited,REFEX
1195,Regency Ceramics Limited,REGENCERAM
1196,Relaxo Footwears Limited,RELAXO
1197,Reliance Capital Limited,RELCAPITAL
1198,Reliance Industries Limited,RELIANCE
1199,Religare Enterprises Limited,RELIGARE
1200,Reliance Infrastructure Limited,RELINFRA
1201,Remsons Industries Limited,REMSONSIND
1202,Shree Renuka Sugars Limited,RENUKA
1203,Repco Home Finance Limited,REPCOHOME
1204,Repro India Limited,REPRO
1205,Responsive Industries Limited,RESPONIND
1206,Revathi Equipment Limited,REVATHI
1207,Renaissance Global Limited,RGL
1208,Reliance Home Finance Limited,RHFL
1209,Rico Auto Industries Limited,RICOAUTO
1210,Reliance Industrial Infrastructure Limited,RIIL
1211,RITES Limited,RITES
1212,Ravi Kumar Distilleries Limited,RKDL
1213,Ramkrishna Forgings Limited,RKFORGE
1214,Radha Madhav Corporation Limited,RMCL
1215,Rane (Madras) Limited,RML
1216,Reliance Nippon Life Asset Management Limited,RNAM
1217,Reliance Naval and Engineering Limited,RNAVAL
1218,Rohit Ferro-Tech Limited,ROHITFERRO
1219,Royal Orchid Hotels Limited,ROHLTD
1220,Rollatainers Limited,ROLLT
1221,Rolta India Limited,ROLTA
1222,Rossell India Limited,ROSSELLIND
1223,RPG Life Sciences Limited,RPGLIFE
1224,Reliance Power Limited,RPOWER
1225,R.P.P. Infra Projects Limited,RPPINFRA
1226,R. S. Software (India) Limited,RSSOFTWARE
1227,RSWM Limited,RSWM
1228,R Systems International Limited,RSYSTEMS
1229,RattanIndia Infrastructure Limited,RTNINFRA
1230,RattanIndia Power Limited,RTNPOWER
1231,The Ruby Mills Limited,RUBYMILLS
1232,Ruchi Infrastructure Limited,RUCHINFRA
1233,Ruchira Papers Limited,RUCHIRA
1234,Ruchi Soya Industries Limited,RUCHISOYA
1235,Rupa & Company Limited,RUPA
1236,Rushil Decor Limited,RUSHIL
1237,Rail Vikas Nigam Limited,RVNL
1238,Sab Events & Governance Now Media Limited,SABEVENTS
1239,Sri Adhikari Brothers Television Network Limited,SABTN
1240,Sadbhav Engineering Limited,SADBHAV
1241,Sadbhav Infrastructure Project Limited,SADBHIN
1242,Safari Industries (India) Limited,SAFARI
1243,Sagardeep Alloys Limited,SAGARDEEP
1244,Sagar Cements Limited,SAGCEM
1245,Steel Authority of India Limited,SAIL
1246,Sakar Healthcare Limited,SAKAR
1247,Sakthi Sugars Limited,SAKHTISUG
1248,Saksoft Limited,SAKSOFT
1249,Sakuma Exports Limited,SAKUMA
1250,Salasar Techno Engineering Limited,SALASAR
1251,Salona Cotspin Limited,SALONA
1252,S.A.L. Steel Limited,SALSTEEL
1253,Salzer Electronics Limited,SALZERELEC
