SNO,NAME OF COMPANY,SYMBOL
145,Autoline Industries Limited,AUTOIND
146,Autolite (India) Limited,AUTOLITIND
147,Avadh Sugar & Energy Limited,AVADHSUGAR
148,Avanti Feeds Limited,AVANTIFEED
149,AVT Natural Products Limited,AVTNPL
150,Axis Bank Limited,AXISBANK
151,AXISCADES Engineering Technologies Limited,AXISCADES
152,AYM Syntex Limited,AYMSYNTEX
153,B.A.G Films and Media Limited,BAGFILMS
154,Bajaj Auto Limited,BAJAJ-AUTO
155,Bajaj Consumer Care Limited,BAJAJCON
156,Bajaj Electricals Limited,BAJAJELEC
157,Bajaj Finserv Limited,BAJAJFINSV
158,Bajaj Hindusthan Sugar Limited,BAJAJHIND
159,Bajaj Holdings & Investment Limited,BAJAJHLDNG
160,Bajaj Finance Limited,BAJFINANCE
161,Balaji Telefilms Limited,BALAJITELE
162,Balaji Amines Limited,BALAMINES
163,Balaxi Ventures Limited,BALAXI
164,Balkrishna Paper Mills Limited,BALKRISHNA
165,Balkrishna Industries Limited,BALKRISIND
166,Ballarpur Industries Limited,BALLARPUR
167,Balmer Lawrie & Company Limited,BALMLAWRIE
168,Bal Pharma Limited,BALPHARMA
169,Balrampur Chini Mills Limited,BALRAMCHIN
170,Banaras Beads Limited,BANARBEADS
171,Bannari Amman Sugars Limited,BANARISUG
172,Banco Products (I) Limited,BANCOINDIA
173,Bandhan Bank Limited,BANDHANBNK
174,Bang Overseas Limited,BANG
175,Bank of Baroda,BANKBARODA
176,Bank of India,BANKINDIA
177,Banswara Syntex Limited,BANSWRAS
178,Bartronics India Limited,BARTRONICS
179,BASF India Limited,BASF
180,Bannari Amman Spinning Mills Limited,BASML
181,Bata India Limited,BATAINDIA
182,Bayer Cropscience Limited,BAYERCROP
183,Bharat Bijlee Limited,BBL
184,Bombay Burmah Trading Corporation Limited,BBTC
185,Brightcom Group Limited,BCG
186,B.C. Power Controls Ltd,BCP
187,Bharat Dynamics Limited,BDL
188,Beardsell Limited,BEARDSELL
189,Bedmutha Industries Limited,BEDMUTHA
190,Bharat Electronics Limited,BEL
191,BEML Limited,BEML
192,Bhansali Engineering Polymers Limited,BEPL
193,Berger Paints (I) Limited,BERGEPAINT
194,BF Investment Limited,BFINVEST
195,BF Utilities Limited,BFUTILITIE
196,Bharatiya Global Infomedia Limited,BGLOBAL
197,BGR Energy Systems Limited,BGRENERGY
198,Bhageria Industries Limited,BHAGERIA
199,Bhagyanagar India Limited,BHAGYANGR
200,Bhagyanagar Properties Limited,BHAGYAPROP
201,Bhandari Hosiery Exports Limited,BHANDARI
202,Bharat Forge Limited,BHARATFORG
203,Bharat Gears Limited,BHARATGEAR
204,Bharat Rasayan Limited,BHARATRAS
205,Bharat Wire Ropes Limited,BHARATWIRE
206,Bharti Airtel Limited,BHARTIARTL
207,Bharat Heavy Electricals Limited,BHEL
208,Bigbloc Construction Limited,BIGBLOC
209,Bhartiya International Limited,BIL
210,Bil Energy Systems Limited,BILENERGY
211,Oswal Chemicals & Fertilizers Limited,BINDALAGRO
212,Biocon Limited,BIOCON
213,Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM
214,Birla Cable Limited,BIRLACABLE
215,Birla Corporation Limited,BIRLACORPN
